,X,Y,Type,Estimate
706,Q82__Irrigation_drip__binary_nominal__1,Q82__Irrigation_surface_Irrigation_drip__binary_nominal__4,LIN,-0.1449882653891677
707,Q6__Arrondissement_6__binary_nominal__3,Q82__Irrigation_surface_Irrigation_drip__binary_nominal__4,LIN,-0.1448646668488126
708,Q7__name_of_village_darou_sarr__binary_nominal__3,Q82__Irrigation_surface_Irrigation_drip__binary_nominal__4,LIN,-0.14424846955252682
709,Q6__Arrondissement_4__binary_nominal__2,Q87__Household_size__continuous,LIN,-0.14424831277425518
710,Q74__Practice_manuring_Practice_crop_rotation__binary_nominal__3,Q4__HasPhoneNumber__binary__1,LIN,0.14308705495441665
711,Q73__Machinery_sprayer_Machinery_daba__binary_nominal__17,Q89__Primary_education__binary_nominal__2,LIN,0.1430078588693185
712,Q65__Variety_Local__binary_nominal__2,Q73__Machinery_pump_Machinery_sprayer_Machinery_daba_Machinery_hoe_sine__binary_nominal__15,LIN,0.1421457501458834
713,Q64__Seed_source_Selfprepared_Bought_neighbor__binary_nominal__1,Q74__Practice_crop_rotation__binary_nominal__1,LIN,0.14130655973151668
714,Q74__Practice_manuring_Practice_crop_rotation__binary_nominal__3,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.14130453858926076
715,Q80__Plow_weather_self__binary_nominal__2,Q74__Practice_crop_rotation__binary_nominal__1,LIN,0.14076629309970856
716,Q82__Irrigation_surface_Irrigation_drip__binary_nominal__4,Q7__name_of_village_beer__binary_nominal__1,LIN,-0.14050759286173298
717,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer__binary_nominal__23,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.14047049178653112
718,Q4__HasPhoneNumber__binary__1,Q0__AGR_PROD__continuous,LIN,0.14021725983928546
719,Q6__Arrondissement_99__binary_nominal__4,Q95__Dislike_not_knowing_future__ordinal,LIN,-0.14012214928245456
720,Q7__name_of_village_ndindy__binary_nominal__13,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.13947071930886495
721,Q73__Machinery_pump_Machinery_draft_animals_Machinery_sprayer_Machinery_daba__binary_nominal__22,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.13853695078626185
722,Q81__Sow_weather_self__binary_nominal__2,Q74__Practice_crop_rotation__binary_nominal__1,LIN,0.13848488062520756
723,Q64__Seed_source_Selfprepared_Bought_neighbor__binary_nominal__1,Q82__irrigation_surface__binary_nominal__3,LIN,-0.1377208869503233
724,Q82__Irrigation_surface_Irrigation_drip__binary_nominal__4,Q93__Trust_most_people__ordinal,LIN,0.1374529614929768
725,Q74__Practice_crop_rotation__binary_nominal__1,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,0.13740162287026103
726,Q72__Sold_VEG_Local_trader__binary_nominal__1,Q7__name_of_village_keur_abdou_ndoye__binary_nominal__7,LIN,0.13698266065751302
727,Q84__Years_using_drip_irrigation__continuous,Q1__Altitude__continuous,LIN,0.13659282948497994
728,Q86__Sex_male__binary__1,Q4__HasPhoneNumber__binary__1,LIN,-0.1364151570341488
729,Q73__Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__14,Q88__Own_business_income_source_Formal_employment_income_source__binary_nominal__3,LIN,0.13577327064309858
730,Q88__Own_business_income_source__binary_nominal__2,Q93__Trust_most_people__ordinal,LIN,0.1352180007522485
731,Q6__Arrondissement_3__binary_nominal__1,Q7__name_of_village_beer__binary_nominal__1,LIN,-0.13517590927531356
732,Q7__name_of_village_keur_saib_ndoi__binary_nominal__9,Q7__name_of_village_beer__binary_nominal__1,LIN,-0.13517590927531356
733,Q82__Irrigation_surface_Irrigation_drip__binary_nominal__4,Q4__HasPhoneNumber__binary__1,LIN,-0.13391088675362461
734,Q74__Practice_manuring_Practice_crop_rotation__binary_nominal__3,Q63__CROP_Vegetables_3__binary_nominal__2,LIN,0.1338654393117391
